数据集,下游模型,填补方法,掩码率,填补MSE,填补MAE,下游MSE,下游MAE,种子,日期,是否汇入总表
Weather,TimesNet,nearest,12.5%,0.0390529804248819,0.040782496203137,0.1757602244615554,0.2245577424764633,2024,2024-09-30  06:00:53,0
Weather,TimesNet,nearest,25.0%,0.0398844739742165,0.041625791834953,0.1781268566846847,0.2265468537807464,2024,2024-09-30  06:41:02,0
Weather,TimesNet,nearest,37.5%,0.0415309411666407,0.0431709708560235,0.1762449443340301,0.2254866063594818,2024,2024-09-30  07:21:20,0
Weather,TimesNet,nearest,50.0%,0.044596831126787,0.0457292676337657,0.1759817004203796,0.2245872616767883,2024,2024-09-30  08:00:22,0
Weather,TimesNet,nearest,62.5%,0.0490762991655726,0.0498952260926548,0.1758569180965423,0.2250232398509979,2024,2024-09-30  08:39:10,0
Weather,TimesNet,nearest,75.0%,0.0579887112471177,0.0577867270013077,0.1756182163953781,0.2228822559118271,2024,2024-09-30  09:31:37,0
Weather,TimesNet,linear,12.5%,0.0273625891035396,0.031440749088805,0.1742291003465652,0.2230083048343658,2024,2024-09-30  10:12:14,0
Weather,TimesNet,linear,25.0%,0.0301614461139564,0.033235881256191,0.1752732694149017,0.2236940562725067,2024,2024-09-30  10:53:22,0
Weather,TimesNet,linear,37.5%,0.0342159088905629,0.0355676145027134,0.1750976592302322,0.2236916124820709,2024,2024-09-30  11:34:02,0
Weather,TimesNet,linear,50.0%,0.0417151218530167,0.0390520966354689,0.1746865808963775,0.2238127887248993,2024,2024-09-30  12:20:39,0
Weather,TimesNet,linear,62.5%,0.054681015630864,0.0441235976687923,0.1770089119672775,0.2257584184408188,2024,2024-09-30  13:06:49,0
Weather,TimesNet,linear,75.0%,0.0800649522092376,0.0535201006683241,0.176838532090187,0.2230884730815887,2024,2024-09-30  14:33:34,0
ETTm1,TimesNet,mean,12.5%,0.5983450745691543,0.5015426849325498,0.332757294178009,0.3695522844791412,2024,2024-10-04  22:04:43,0
ETTh1,TimesNet,mean,12.5%,0.650253400720399,0.5319156096927051,0.4126875102519989,0.4225521087646484,2024,2024-10-04  22:11:22,0
ECL,TimesNet,mean,12.5%,0.7895525271848122,0.7412894301532958,0.1747364103794098,0.2780410051345825,2024,2024-10-05  00:08:25,0
Weather,TimesNet,mean,12.5%,0.1091597864841413,0.1694727776332135,0.1762910187244415,0.2248518317937851,2024,2024-10-05  00:35:40,0
ETTm1,TimesNet,mean,25.0%,0.5985501386464576,0.5013186790111686,0.3363308310508728,0.3722771406173706,2024,2024-10-05  01:21:33,0
ETTh1,TimesNet,mean,25.0%,0.6542833731777367,0.5330283468824694,0.4139642715454101,0.4242862462997436,2024,2024-10-05  01:28:33,0
ECL,TimesNet,mean,25.0%,0.7912884883999084,0.7417309752532414,0.1754131615161895,0.2802013456821441,2024,2024-10-05  03:24:58,0
Weather,TimesNet,mean,25.0%,0.1092256767978103,0.1694633345079659,0.1796593517065048,0.226648136973381,2024,2024-10-05  03:52:34,0
ETTm1,TimesNet,mean,37.5%,0.6008542740769053,0.5019963609670349,0.3402997255325317,0.37519171833992,2024,2024-10-05  04:35:58,0
ETTh1,TimesNet,mean,37.5%,0.656159040742907,0.5331663809631063,0.4166293144226074,0.426126092672348,2024,2024-10-05  04:42:44,0
ECL,TimesNet,mean,37.5%,0.793364265320464,0.7421755651879755,0.1766008585691452,0.2823283672332763,2024,2024-10-05  06:39:31,0
Weather,TimesNet,mean,37.5%,0.109503583242671,0.1696009671406969,0.1789916008710861,0.2280813306570053,2024,2024-10-05  07:05:48,0
ETTm1,TimesNet,mean,50.0%,0.603160068680694,0.50253881159022,0.3465695977210998,0.3800240755081177,2024,2024-10-05  07:49:36,0
